station,lat,long,date,temp
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T04:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T05:00:00,55
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T05:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T06:00:00,55
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T06:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T07:00:00,56
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T07:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T09:00:00,61
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T09:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T10:00:00,64
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T10:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T11:00:00,66
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T11:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T12:00:00,70
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T12:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T13:00:00,71
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T13:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T14:00:00,72
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T14:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T15:00:00,72
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T15:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T16:00:00,72
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T16:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T17:00:00,73
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T17:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T18:00:00,68
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T18:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T19:00:00,66
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T19:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T20:00:00,64
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T20:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T21:00:00,63
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T21:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T22:00:00,61
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T22:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T23:00:00,60
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T23:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T00:00:00,59
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T00:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T01:00:00,58
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T01:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T02:00:00,57
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T02:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T03:00:00,56
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T03:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T04:00:00,57
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T04:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T05:00:00,57
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T05:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T06:00:00,57
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T06:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T07:00:00,58
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T07:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T08:00:00,59
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T08:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T09:00:00,63
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T09:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T10:00:00,68
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T10:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T11:00:00,73
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T11:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T12:00:00,78
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T12:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T13:00:00,81
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T13:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T14:00:00,82
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T14:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-19T15:00:00,83
